FID,DNA_ID,Sample_ID,TDMilk,TDFat,TDPro,TDSCCS,Fat,Protein,Lactose,Solids,SNF,Urea,FPD,SCC
175,201148310018_R10C01,28a,11,7.6,2.1,7.8,4.3,2.59,4.27,11.88,7.58,28.9,584.609,1692
166,201148310018_R05C02,10(b),9,3.8,2.6,5.5,3.84,2.63,4.581,11.91,8.07,25.3,589.487,554
188,201148310019_R04C02,175,6,5,3.4,5,3.07,2.99,4.782,11.71,8.64,20.1,578.468,282
192,201148310019_R06C02,176,6,4.9,3.6,4.3,5,3.41,4.708,13.93,8.93,20,599.888,391
235,201148310020_R04C01,637,7,3.6,2.6,5.3,5.08,3.52,4.021,13.12,8.04,NA,NA,5093
224,201148310006_R10C02,705,6,4.2,2.8,6,5.6,3.91,3.683,13.57,7.97,NA,NA,8846
57,201148310007_R05C01,871,5,3.6,2.5,6.1,6.56,5.25,4.023,16.25,9.69,NA,NA,2383
62,201148310007_R07C02,920,5,3.9,2.7,8.1,4.62,3.48,4.149,12.87,8.25,NA,NA,16748
181,201148310019_R01C01,4900,12,5.2,3.1,5.5,5.23,3.05,4.712,13.86,8.63,22.1,593.512,548
237,201148310020_R05C01,1003,11,4,2.9,7,4.24,2.67,4.346,11.99,7.75,NA,NA,3622
93,201148310004_R11C01,12345,NA,NA,NA,NA,3.4,2.61,4.238,10.99,7.59,NA,NA,203
142,201148310015_R11C02,12913,NA,NA,NA,NA,2.42,2.13,4.394,9.79,7.37,NA,NA,172
169,201148310018_R07C01,31114,NA,NA,NA,NA,3.32,2.46,4.342,10.9,7.58,NA,NA,134
178,201148310018_R11C02,31121,NA,NA,NA,NA,3.2,2.08,4.14,10.15,6.95,NA,NA,89
193,201148310019_R07C01,31413,NA,NA,NA,NA,3.44,2.56,4.282,11.07,7.62,NA,NA,131
200,201148310019_R10C02,22714,NA,NA,NA,NA,3.4,2.54,4.419,11.15,7.75,NA,NA,534
202,201148310019_R11C02,42813,NA,NA,NA,NA,3.01,2.32,4.369,10.51,7.51,NA,NA,874
256,201148310023_R02C02,31913,NA,NA,NA,NA,3.2,2.54,4.149,10.6,7.39,NA,NA,156
258,201148310023_R03C02,30515,NA,NA,NA,NA,3.44,2.54,4.577,11.43,7.98,NA,NA,132
265,201148310023_R07C01,31214,NA,NA,NA,NA,3.52,2.46,4.213,10.91,7.4,NA,NA,429
270,201148310023_R09C02,21615,NA,NA,NA,NA,2.99,2.44,4.429,10.68,7.69,NA,NA,107
274,201148310023_R11C02,31014,NA,NA,NA,NA,3.19,2.43,4.312,10.71,7.53,NA,NA,72
160,201148310018_R02C02,1,NA,NA,NA,NA,2.45,2.42,4.461,10.2,7.75,NA,NA,165
191,201148310019_R06C01,8,NA,NA,NA,NA,3,2.34,4.437,10.6,7.61,27.6,574.688,205
49,201148310007_R01C01,171,NA,NA,NA,NA,3.99,3.06,4.679,12.56,8.57,22.5,588.008,309
63,201148310007_R08C01,173,NA,NA,NA,NA,4.64,3.28,4.6,13.3,8.66,16.1,606.523,298
216,201148310006_R06C02,170,NA,NA,NA,NA,4.01,2.9,4.902,12.75,8.74,19.7,587.595,184
227,201148310006_R12C01,127,NA,NA,NA,NA,4.37,3.2,4.837,13.27,8.9,13.7,580.294,226
42,201148310010_R09C02,1345,NA,NA,NA,NA,4.14,3.38,4.665,12.95,8.82,24.5,579.432,3948
185,201148310019_R03C01,69,NA,NA,NA,NA,2.84,2.7,4.677,11.12,8.28,25.7,579.081,394
199,201148310019_R10C01,10,NA,NA,NA,NA,3.96,3.4,5.012,13.32,9.36,21.6,580.28,317
255,201148310023_R02C01,17,NA,NA,NA,NA,2.95,2.43,4.276,10.43,7.47,28.6,577.521,137
257,201148310023_R03C01,76,NA,NA,NA,NA,2.47,2.17,4.265,9.71,7.24,42.8,574.338,281
264,201148310023_R06C02,21,NA,NA,NA,NA,2.44,2.47,4.338,10.08,7.64,30.4,583.881,364
271,201148310023_R10C01,12,NA,NA,NA,NA,2.95,2.35,4.607,10.8,7.85,24.9,583.215,584
273,201148310023_R11C01,87,NA,NA,NA,NA,2.22,2.14,4.355,9.55,7.32,23.7,583.673,131
1,201148310012_R01C01,926,4,7.3,4.1,6.9,NA,NA,NA,NA,NA,NA,NA,NA
